participant,condition,learningtype,item,itemgroup,verbtype,known,input,testmoment,bin_score,frequency,cognate,vowellength,vowelchange,structure,syllables,verbclass,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount
pp02,EXP,explicit,vergessen,CRIT_A,critical,ACT,yes,T1,0,837,yes,short,e-i,S-V-OA-PP,3,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,wachsen,CRIT_A,critical,ACT,yes,T1,0,531,no,short,a-ae,ITR,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,werfen,CRIT_A,critical,ACT,yes,T1,1,902,yes,short,e-i,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,blasen,CRIT_B,critical,ACT,no,T1,0,85,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,braten,CRIT_B,critical,ACT,no,T1,0,13,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,brechen,CRIT_B,critical,ACT,no,T1,0,361,yes,short,e-i,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,empfehlen,CRIT_B,critical,ACT,no,T1,0,382,doubt,long,e-i,S-V-OA-PP,3,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,essen,CRIT_B,critical,ACT,no,T1,0,400,yes,short,e-i,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,fallen,CRIT_B,critical,ACT,no,T1,0,1668,yes,short,a-ae,ITR,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,halten,CRIT_B,critical,ACT,no,T1,0,3971,yes,short,a-ae,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,laufen,CRIT_B,critical,ACT,no,T1,0,1290,yes,diphtong,au-aeu,ITR,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
